ym,ccode,gen_share,load_share
2019-10-01,IE,NA,NA
2019-10-01,IT,0.028767069892473116,0.024754704301075268
2019-10-01,LT,0.061318817204301074,0.018039784946236558
2019-10-01,LU,0.07381834677419355,0.016072278225806452
2019-10-01,LV,NA,NA
2019-10-01,NL,0.007747446236559139,0.007525940860215053
2019-10-01,NO,NA,NA
2019-10-01,PL,0.011874327956989247,0.010215591397849461
2019-10-01,PT,0.045603629032258064,0.04186545698924731
2019-10-01,RO,0.02989287634408602,0.027462096774193548
2019-10-01,SE,0.0539875,NA
2019-10-01,SI,0.02939556451612903,0.020548655913978493
2019-10-01,SK,0.01729301075268817,NA
2019-11-01,AT,0.06476513888888889,0.06142538194444444
2019-11-01,BE,0.015763888888888886,0.01693597222222222
2019-11-01,BG,0.009704444444444443,0.01170097222222222
2019-11-01,CZ,NA,NA
2019-11-01,DE,0.03589673611111111,0.03917291666666667
2019-11-01,DK,0.06877347222222222,0.062351666666666666
2019-11-01,EE,0.026471666666666664,0.017826944444444444
2019-11-01,ES,0.05181222222222222,0.05423486111111111
2019-11-01,FI,0.034805694444444445,0.024672638888888886
2019-11-01,FR,0.02144347222222222,0.022631944444444444
2019-11-01,GR,0.024095694444444444,0.017492638888888887
2019-11-01,HR,0.06593236111111112,0.0694701388888889
2019-11-01,HU,0.008706006944444443,0.0064850694444444435
2019-11-01,IE,0.040971875,0.037253888888888885
2019-11-01,IT,0.0391325,0.034347916666666665
2019-11-01,LT,0.07200305555555556,0.019337638888888887
2019-11-01,LU,0.06981152777777777,0.015615555555555554
2019-11-01,LV,NA,NA
2019-11-01,NL,0.008228472222222222,0.008171944444444443
2019-11-01,NO,NA,0.0956276388888889
2019-11-01,PL,0.013264999999999999,0.011524444444444443
2019-11-01,PT,0.0614125,0.06721361111111111
2019-11-01,RO,0.03650069444444444,0.03606486111111111
2019-11-01,SE,0.05435597222222222,0.06224833333333333
2019-11-01,SI,0.03986791666666666,0.05282805555555555
2019-11-01,SK,0.019514305555555556,0.019645555555555555
2019-12-01,AT,0.06331260080645161,0.05484959677419355
2019-12-01,BE,0.019297043010752687,0.020468817204301073
2019-12-01,BG,0.010414112903225805,0.011633736559139784
2019-12-01,CZ,0.009054569892473118,0.011251881720430106
2019-12-01,DE,0.04736918682795699,0.052188911290322576
2019-12-01,DK,0.07235631720430108,0.08029892473118279
2019-12-01,EE,NA,NA
2019-12-01,ES,NA,NA
2019-12-01,FI,0.03888669354838709,0.02963024193548387
2019-12-01,FR,0.024501881720430108,0.0270872311827957
2019-12-01,GR,0.026791263440860212,0.01740537634408602
2019-12-01,HR,0.07335900537634409,0.0709018817204301
2019-12-01,HU,NA,NA
2019-12-01,IE,0.05192493279569892,0.04756767473118279
2019-12-01,IT,0.040374327956989246,0.035299462365591394
2019-12-01,LT,NA,NA
2019-12-01,LU,0.07104284274193548,0.019536861559139782
2019-12-01,LV,NA,NA
2019-12-01,NL,0.012577150537634408,0.011200403225806451
2019-12-01,NO,0.09762930107526882,0.08802258064516129
2019-12-01,PL,0.015764112903225807,0.014077150537634408
2019-12-01,PT,0.06656411290322581,0.08293481182795699
2019-12-01,RO,0.036531989247311825,0.036187096774193545
2019-12-01,SE,0.05542459677419355,0.06524529569892473
2019-12-01,SI,NA,0.043311290322580645
2019-12-01,SK,0.01832029569892473,0.018194623655913976
2020-01-01,AT,0.04975551075268817,0.04101858198924731
2020-01-01,BE,0.01976760752688172,0.020001209677419352
2020-01-01,BG,0.008926075268817203,0.009039112903225805
2020-01-01,CZ,0.00861021505376344,0.0099971774193548385
2020-01-01,DE,0.046044993279569894,0.05019885752688172
2020-01-01,DK,0.07658548387096774,0.08970389784946237
2020-01-01,EE,0.04552930107526881,0.02274475806451613
2020-01-01,ES,0.04435456989247312,0.0430008064516129
2020-01-01,FI,0.042138844086021504,0.0328130376344086
2020-01-01,FR,0.019175806451612903,0.021108467741935484
2020-01-01,GR,NA,0.01680524193548387
2020-01-01,HR,0.06389892473118279,0.0456380376344086
2020-01-01,HU,0.007049059139784946,0.00504388440860215
2020-01-01,IE,0.05285,0.046206586021505375
2020-01-01,IT,0.030911290322580644,0.027254704301075267
2020-01-01,LT,0.07330913978494624,0.025118145161290323
2020-01-01,LU,0.07122674731182796,0.01704260752688172
2020-01-01,LV,0.06716706989247312,0.06556424731182796
2020-01-01,NL,0.011268548387096773,0.011036827956989246
2020-01-01,NO,0.09769166666666666,0.0962630376344086
2020-01-01,PL,0.01648534946236559,0.014764919354838708
2020-01-01,PT,0.06195147849462365,0.06974999999999999
2020-01-01,RO,0.03368239247311828,0.03308508064516129
2020-01-01,SE,0.05846465053763441,0.07153575268817204
2020-01-01,SI,0.02589018817204301,0.024286827956989245
2020-01-01,SK,0.01645819892473118,NA
2020-02-01,AT,0.07238081896551724,0.06820147270114943
2020-02-01,BE,0.025419827586206895,0.025962787356321838
2020-02-01,BG,0.01045258620689655,0.011444827586206895
2020-02-01,CZ,0.010976867816091952,0.01245890804597701
2020-02-01,DE,0.059547449712643676,0.06444622844827586
2020-02-01,DK,0.07461206896551724,0.08686235632183908
2020-02-01,EE,0.05003304597701149,0.02296451149425287
2020-02-01,ES,0.04574310344827586,0.04480445402298851
2020-02-01,FI,0.04280603448275862,0.03461077586206896
2020-02-01,FR,0.024776580459770114,0.028964942528735632
2020-02-01,GR,0.029501724137931035,0.021159482758620687
2020-02-01,HR,0.05397083333333333,0.03877729885057471
2020-02-01,HU,0.011886889367816091,0.008296946839080459
2020-02-01,IE,NA,NA
2020-02-01,IT,0.035238074712643674,0.02951551724137931
2020-02-01,LT,0.06846293103448275,0.027021551724137928
2020-02-01,LU,0.07773688936781609,0.022716630747126435
2020-02-01,LV,0.06844827586206896,0.06473433908045977
2020-02-01,NL,0.015860057471264368,0.013871120689655172
2020-02-01,NO,0.09767902298850575,0.09813491379310345
2020-02-01,PL,0.020206896551724137,0.018059770114942527
2020-02-01,PT,0.06345344827586206,0.06147456896551724
2020-02-01,RO,0.04022068965517241,0.038616810344827585
2020-02-01,SE,0.06351048850574713,0.07410502873563218
2020-02-01,SI,0.020845402298850572,0.019064367816091953
2020-02-01,SK,0.024885488505747125,0.025960775862068963
2020-03-01,AT,0.07021475134408602,0.06780416666666667
2020-03-01,BE,0.025021236559139785,0.02718978494623656
2020-03-01,BG,NA,0.016903763440860215
2020-03-01,CZ,0.013598924731182795,0.014871774193548386
2020-03-01,DE,0.05336935483870968,0.056725940860215054
2020-03-01,DK,0.07086680107526881,0.07033024193548387
2020-03-01,EE,0.04427459677419355,NA
2020-03-01,ES,0.052177956989247314,0.05312943548387097
2020-03-01,FI,0.0473263440860215,0.037821236559139784
2020-03-01,FR,0.026681317204301076,0.03083508064516129
2020-03-01,GR,NA,NA
2020-03-01,HR,0.0688486559139785,0.04916236559139785
2020-03-01,HU,0.01161532258064516,0.00864586693548387
2020-03-01,IE,0.05299126344086021,NA
2020-03-01,IT,0.03844206989247312,0.03251478494623656
2020-03-01,LT,0.06393870967741935,0.02120524193548387
2020-03-01,LU,0.07586938844086022,0.021676411290322578
2020-03-01,LV,0.07881895161290323,0.0839372311827957
2020-03-01,NL,0.014005913978494622,0.011877284946236558
2020-03-01,NO,0.09785981182795699,0.10639932795698925
2020-03-01,PL,0.015350940860215052,0.013339784946236558
2020-03-01,PT,0.06511922043010752,0.06397620967741935
2020-03-01,RO,0.044859677419354836,0.04531989247311828
2020-03-01,SE,0.06289395161290323,0.07608427419354839
2020-03-01,SI,0.02865793010752688,0.028235080645161288
2020-03-01,SK,0.024563844086021504,0.02544005376344086
2020-04-01,AT,0.0785340625,0.07510447916666667
2020-04-01,BE,0.02271486111111111,0.024689305555555555
2020-04-01,BG,0.023767638888888887,0.02577583333333333
2020-04-01,CZ,0.01684513888888889,0.01860861111111111
2020-04-01,DE,0.05593420138888889,0.05620722222222222
2020-04-01,DK,0.07325388888888888,0.06251208333333333
