Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2016;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2015;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2014;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2013;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2012;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2011;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2010;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2020;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2019;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2018;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2017;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2016;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2015;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2014;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2013;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2012;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2011;0
01.1. Disolventes usados;Operaciones de relleno;TOTAL GENERAL;2010;0
01.1. Disolventes usados;Vertido;NO PELIGROSO;2020;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2019;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2018;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2017;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2016;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2015;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2014;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2013;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2012;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2011;..
01.1. Disolventes usados;Vertido;NO PELIGROSO;2010;0
01.1. Disolventes usados;Vertido;PELIGROSO;2020;5
01.1. Disolventes usados;Vertido;PELIGROSO;2019;392
01.1. Disolventes usados;Vertido;PELIGROSO;2018;9
01.1. Disolventes usados;Vertido;PELIGROSO;2017;16
